abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
MN,3.3,3.4266666666666667,3.409090909090909,3.6048632218844983,24.1,36.38666666666666,29.454545454545453,30.90577507598784,56255.0,10,75,88,329,Minneapolis
MS,3.0,3.888888888888889,3.725,3.5285714285714285,4.454545454545454,3.4444444444444446,4.425,4.507142857142857,39724.0,11,36,40,140,Jackson
MT,2.875,3.4411764705882355,3.5208333333333335,3.658536585365854,4.75,5.176470588235294,5.333333333333333,4.2926829268292686,54222.0,4,17,24,82,Billings
NE,3.2857142857142856,3.5984848484848486,3.522727272727273,3.6943462897526502,9.857142857142858,13.803030303030303,12.045454545454545,12.349823321554771,52672.0,14,66,66,283,Omaha
NV,3.6333333333333333,3.742424242424242,3.5625,3.76566757493188,118.0,127.56060606060606,150.675,133.716621253406,51115.0,15,66,40,367,Las Vegas
NM,3.590909090909091,3.4375,3.46,3.708904109589041,12.818181818181818,19.555555555555557,15.693333333333333,19.061643835616437,50522.0,11,72,75,292,Albuquerque
NC,3.3333333333333335,3.2916666666666665,3.410958904109589,3.4832317073170733,28.666666666666668,26.729166666666668,31.136986301369863,32.173780487804876,61017.0,12,48,73,328,Charlotte
SC,3.638888888888889,3.5945945945945947,3.7526315789473683,3.787931034482759,12.777777777777779,14.608108108108109,13.936842105263159,16.26206896551724,61467.0,18,74,95,290,Charleston
ND,1.875,4.25,3.2115384615384617,3.62,2.5,2.9,3.769230769230769,5.693333333333333,52699.0,4,20,26,75,Fargo
TX,3.3076923076923075,3.3671875,3.6,3.6507936507936507,51.69230769230769,56.15625,59.37,62.13333333333333,47793.0,13,64,100,315,Houston
OK,3.2666666666666666,3.3771929824561404,3.6444444444444444,3.688581314878893,10.266666666666667,12.350877192982455,13.244444444444444,15.27681660899654,52915.0,15,57,90,289,Oklahoma City
WA,3.3,3.8208955223880596,3.5273972602739727,3.6432506887052343,103.1,111.80597014925372,137.05479452054794,119.87878787878788,83476.0,10,67,73,363,Seattle
RI,3.076923076923077,3.6333333333333333,3.5970149253731343,3.834090909090909,11.461538461538462,17.233333333333334,15.671641791044776,18.3,40335.0,13,60,67,220,Providence
SD,3.5,3.45,3.0652173913043477,3.769230769230769,3.625,3.25,3.391304347826087,4.56043956043956,56867.0,8,20,23,91,Sioux Falls
TN,3.5454545454545454,3.221311475409836,3.4875,3.6645569620253164,24.454545454545453,30.524590163934427,32.35,28.27848101265823,54310.0,11,61,80,316,Nashville-Davidson
UT,3.1333333333333333,3.546875,3.48,3.5765765765765765,24.266666666666666,34.15625,33.266666666666666,29.996996996996998,56994.0,15,64,75,333,Salt Lake City
VT,3.0,3.5517241379310347,3.6142857142857143,3.6931818181818183,4.909090909090909,9.517241379310345,10.028571428571428,9.31060606060606,48464.0,11,29,70,132,Burlington
WI,3.5384615384615383,3.2,3.564935064935065,3.5463258785942493,12.615384615384615,20.44,16.961038961038962,22.057507987220447,38097.0,13,50,77,313,Milwaukee
WY,3.5,3.7333333333333334,2.35,3.4193548387096775,2.0,4.4,6.0,5.112903225806452,59877.0,1,15,10,62,Cheyenne
